epoch,step,train_dataset_iou,train_dataset_loss,train_per_image_iou,valid_dataset_iou,valid_dataset_loss,valid_per_image_iou
0,1098,,,,0.6967940926551819,0.1616642326116562,0.7744460105895996
0,1098,0.9044477343559265,0.09283455461263657,0.9182153344154358,,,
1,2197,,,,0.90581214427948,0.050771623849868774,0.9121395349502563
1,2197,0.9514428973197937,0.027955589815974236,0.9536659121513367,,,
2,3296,,,,0.9265405535697937,0.0385497510433197,0.9289102554321289
2,3296,0.9540143013000488,0.025007285177707672,0.9553320407867432,,,
3,4395,,,,0.9399555921554565,0.03127245977520943,0.9418968558311462
3,4395,0.9547640681266785,0.024066859856247902,0.9561002254486084,,,
4,5494,,,,0.9480937719345093,0.03172505274415016,0.9420462846755981
4,5494,0.9589393138885498,0.021413316950201988,0.9596031904220581,,,
5,6593,,,,0.9385457038879395,0.030481452122330666,0.9438419938087463
5,6593,0.959641695022583,0.02092571184039116,0.9605709314346313,,,
6,7692,,,,0.9490957260131836,0.029591264203190804,0.9447102546691895
6,7692,0.9641554355621338,0.018577756360173225,0.9640635848045349,,,
7,8791,,,,0.8823778629302979,0.052906863391399384,0.9041049480438232
7,8791,0.9554249048233032,0.022921189665794373,0.9569592475891113,,,
8,9890,,,,0.9285402297973633,0.038698140531778336,0.9286018013954163
8,9890,0.96095871925354,0.020001700147986412,0.9615792632102966,,,
9,10989,,,,0.9582633376121521,0.02419438771903515,0.9545725584030151
9,10989,0.9639618396759033,0.018457205966114998,0.9644680023193359,,,
10,12088,,,,0.95830899477005,0.0232407059520483,0.9555183053016663
10,12088,0.9672717452049255,0.016864817589521408,0.9670865535736084,,,
11,13187,,,,0.9271076917648315,0.037895359098911285,0.9309935569763184
11,13187,0.9655972123146057,0.017668774351477623,0.9657545685768127,,,
12,14286,,,,0.8493398427963257,0.07880441844463348,0.8719159364700317
12,14286,0.9670764207839966,0.016864707693457603,0.9670321345329285,,,
13,15385,,,,0.9042293429374695,0.04711116477847099,0.9166045188903809
13,15385,0.9663423299789429,0.01728193834424019,0.9665625095367432,,,
14,16484,,,,0.9583034515380859,0.023520944640040398,0.9559680819511414
14,16484,0.9644588232040405,0.018126923590898514,0.965059220790863,,,
