epoch,step,train_dataset_iou,train_dataset_loss,train_per_image_iou,valid_dataset_iou,valid_dataset_loss,valid_per_image_iou
0,549,,,,0.916965901851654,0.24821534752845764,0.9128811955451965
0,549,0.6704307794570923,0.36444252729415894,0.7670449614524841,,,
1,1099,,,,0.9414567947387695,0.13832488656044006,0.9312779903411865
1,1099,0.9492527842521667,0.15506383776664734,0.9479954838752747,,,
2,1649,,,,0.9439041018486023,0.08697748184204102,0.9388934373855591
2,1649,0.9591783285140991,0.0846906304359436,0.9587309956550598,,,
3,2199,,,,0.9453317523002625,0.06851381063461304,0.9359115362167358
3,2199,0.9632529020309448,0.053565964102745056,0.9629200100898743,,,
4,2749,,,,0.9510239362716675,0.04861150681972504,0.9456835389137268
4,2749,0.9655991196632385,0.03850578889250755,0.9654046297073364,,,
5,3299,,,,0.9524861574172974,0.0380282960832119,0.9487664103507996
5,3299,0.9660965800285339,0.029782382771372795,0.9660183787345886,,,
6,3849,,,,0.9516980051994324,0.033993370831012726,0.9488582015037537
6,3849,0.9679741263389587,0.02356279268860817,0.9679199457168579,,,
7,4399,,,,0.9548416137695312,0.0296828281134367,0.952113687992096
7,4399,0.9693294763565063,0.020258042961359024,0.9691427946090698,,,
8,4949,,,,0.9542239308357239,0.03223274275660515,0.9463573694229126
8,4949,0.9700488448143005,0.0184395220130682,0.9699515104293823,,,
9,5499,,,,0.9495250582695007,0.03605876863002777,0.940142810344696
9,5499,0.9705501794815063,0.017225047573447227,0.9707570672035217,,,
10,6049,,,,0.9479629993438721,0.03019593469798565,0.9470645189285278
10,6049,0.9710918068885803,0.016336174681782722,0.9710681438446045,,,
11,6599,,,,0.9525507092475891,0.02773134410381317,0.9511420130729675
11,6599,0.9714993238449097,0.01566978730261326,0.9716219305992126,,,
12,7149,,,,0.9461065530776978,0.027653533965349197,0.9487359523773193
12,7149,0.9722591042518616,0.014959744177758694,0.9722263813018799,,,
13,7699,,,,0.9481064677238464,0.028112847357988358,0.9482448697090149
13,7699,0.9728922247886658,0.014426199719309807,0.972789466381073,,,
14,8249,,,,0.952460527420044,0.025199923664331436,0.9528228640556335
14,8249,0.9730610251426697,0.01417766883969307,0.9730079770088196,,,
15,8799,,,,0.9573034644126892,0.02318342961370945,0.9566698670387268
15,8799,0.973933756351471,0.013578849844634533,0.9739816188812256,,,
16,9349,,,,0.9502062797546387,0.02655581571161747,0.9499092102050781
16,9349,0.9744510650634766,0.013251403346657753,0.9744805693626404,,,
17,9899,,,,0.9553787708282471,0.025020038709044456,0.9525434374809265
17,9899,0.9744737148284912,0.013147518038749695,0.9745261073112488,,,
18,10449,,,,0.9593597650527954,0.021751094609498978,0.9583632349967957
18,10449,0.9752620458602905,0.012737579643726349,0.9752470850944519,,,
19,10999,,,,0.9561112523078918,0.02416159398853779,0.9542565941810608
19,10999,0.9752956628799438,0.012658525258302689,0.9752402901649475,,,
20,11549,,,,0.9556347727775574,0.022617345675826073,0.9565640091896057
20,11549,0.9753000736236572,0.012601453810930252,0.9753310084342957,,,
21,12099,,,,0.9539698362350464,0.023638498038053513,0.9550777673721313
21,12099,0.9754071235656738,0.012554563581943512,0.9753809571266174,,,
22,12649,,,,0.9536293148994446,0.023234263062477112,0.9555854797363281
22,12649,0.9760710597038269,0.012217666953802109,0.9760290384292603,,,
23,13199,,,,0.9553982615470886,0.023781733587384224,0.954576849937439
23,13199,0.9763938784599304,0.01201427262276411,0.9764079451560974,,,
24,13749,,,,0.9559674263000488,0.02378666214644909,0.9544670581817627
24,13749,0.9766066670417786,0.011901737190783024,0.9766013622283936,,,
25,14299,,,,0.9551981091499329,0.023019595071673393,0.9556712508201599
25,14299,0.9768655896186829,0.0117344306781888,0.9769644737243652,,,
26,14849,,,,0.9567112326622009,0.02276887558400631,0.9561191201210022
26,14849,0.9772030115127563,0.011606564745306969,0.9771440029144287,,,
27,15399,,,,0.9513423442840576,0.02389656938612461,0.953864336013794
27,15399,0.977303683757782,0.011534655466675758,0.9772723913192749,,,
28,15949,,,,0.9532467126846313,0.02456509694457054,0.952789306640625
28,15949,0.9777175188064575,0.011301599442958832,0.9777215719223022,,,
29,16499,,,,0.9516822099685669,0.024189680814743042,0.9532901048660278
29,16499,0.9776631593704224,0.011330507695674896,0.9775611162185669,,,
