epoch,step,train_dataset_iou,train_dataset_loss,train_per_image_iou,valid_dataset_iou,valid_dataset_loss,valid_per_image_iou
0,732,,,,0.9424371123313904,0.05522340163588524,0.9366065859794617
0,732,0.8580716252326965,0.1809750646352768,0.8952542543411255,,,
1,1465,,,,0.9397826790809631,0.03973127901554108,0.9374492168426514
1,1465,0.9611455798149109,0.03206607326865196,0.960893988609314,,,
2,2198,,,,0.9445470571517944,0.031910110265016556,0.9444502592086792
2,2198,0.9669232368469238,0.021054761484265327,0.9670685529708862,,,
3,2931,,,,0.9498575925827026,0.028240198269486427,0.9505510926246643
3,2931,0.9693782329559326,0.017721101641654968,0.9693066477775574,,,
4,3664,,,,0.9518694877624512,0.028250955045223236,0.9483374357223511
4,3664,0.970607340335846,0.01619049534201622,0.9706951379776001,,,
5,4397,,,,0.9611997008323669,0.022127773612737656,0.9584336280822754
5,4397,0.9717743396759033,0.015097745694220066,0.9718302488327026,,,
6,5130,,,,0.9608628749847412,0.021027762442827225,0.960101306438446
6,5130,0.9727442264556885,0.014336605556309223,0.9727421402931213,,,
7,5863,,,,0.9565466642379761,0.023657772690057755,0.9568081498146057
7,5863,0.9731425642967224,0.013962559401988983,0.973265528678894,,,
8,6596,,,,0.953025221824646,0.023128444328904152,0.9559916853904724
8,6596,0.973665714263916,0.013551266863942146,0.9739256501197815,,,
9,7329,,,,0.9597077965736389,0.02139318734407425,0.9591872692108154
9,7329,0.9749842286109924,0.01286008395254612,0.9750916361808777,,,
