epoch,step,train_dataset_iou,train_dataset_loss,train_per_image_iou,valid_dataset_iou,valid_dataset_loss,valid_per_image_iou
0,295,,,,0.9357185959815979,0.12542474269866943,0.9364230632781982
0,295,0.8941041827201843,0.2132355123758316,0.9034579396247864,,,
1,591,,,,0.9655285477638245,0.048355985432863235,0.9660199880599976
1,591,0.9568575620651245,0.06282103061676025,0.9572629928588867,,,
2,887,,,,0.9616064429283142,0.03446941450238228,0.9621464610099792
2,887,0.9633769392967224,0.03553535416722298,0.9637358784675598,,,
3,1183,,,,0.9689748883247375,0.02510838583111763,0.969402015209198
3,1183,0.9663571715354919,0.02634199522435665,0.9669532179832458,,,
4,1479,,,,0.9676276445388794,0.022312084212899208,0.9680435061454773
4,1479,0.9709198474884033,0.020607000216841698,0.9710054397583008,,,
5,1775,,,,0.9701970219612122,0.019278250634670258,0.9696502089500427
5,1775,0.9718962907791138,0.018239829689264297,0.9719640612602234,,,
6,2071,,,,0.968789279460907,0.018970860168337822,0.9694342613220215
6,2071,0.9707111716270447,0.017722023651003838,0.9706704020500183,,,
7,2367,,,,0.9687695503234863,0.018180429935455322,0.9690155386924744
7,2367,0.9722064733505249,0.016157878562808037,0.9724652171134949,,,
8,2663,,,,0.9648666381835938,0.01954066939651966,0.9656558632850647
8,2663,0.9696112275123596,0.017063289880752563,0.9697359204292297,,,
9,2959,,,,0.9718596339225769,0.015564734116196632,0.9720131754875183
9,2959,0.9673354029655457,0.017926111817359924,0.9681606888771057,,,
