epoch,step,train_dataset_iou,train_dataset_loss,train_per_image_iou,valid_dataset_iou,valid_dataset_loss,valid_per_image_iou
0,273,,,,0.9256590008735657,0.19808629155158997,0.9177778363227844
0,273,0.768585741519928,0.17259393632411957,0.8558492660522461,,,
1,547,,,,0.9374059438705444,0.06345512717962265,0.9349179863929749
1,547,0.9537069797515869,0.019280366599559784,0.9535478949546814,,,
2,821,,,,0.9554535150527954,0.0063524385914206505,0.9450640082359314
2,821,0.9609102010726929,-0.058998093008995056,0.9608586430549622,,,
3,1095,,,,0.9510573744773865,-0.018806368112564087,0.9508109092712402
3,1095,0.9589502215385437,-0.084665447473526,0.9607254266738892,,,
4,1369,,,,0.9419698715209961,-0.02170766331255436,0.9415621757507324
4,1369,0.9652144908905029,-0.09649170935153961,0.9651719927787781,,,
5,1643,,,,0.9464287757873535,-0.03215253725647926,0.9478020668029785
5,1643,0.9639762043952942,-0.10501818358898163,0.9641164541244507,,,
6,1917,,,,0.9590854048728943,-0.03887229040265083,0.955494225025177
6,1917,0.9635979533195496,-0.1064307689666748,0.9638606905937195,,,
7,2191,,,,0.9594573974609375,-0.039204832166433334,0.9530816078186035
7,2191,0.9657506346702576,-0.11138791590929031,0.9660722613334656,,,
8,2465,,,,0.9601162672042847,-0.043750278651714325,0.9566358923912048
8,2465,0.9673553705215454,-0.11196669191122055,0.9676324129104614,,,
9,2739,,,,0.9485120177268982,-0.04160104691982269,0.9484253525733948
9,2739,0.9667870402336121,-0.11598540842533112,0.9673391580581665,,,
10,3013,,,,0.9464846253395081,-0.04190422594547272,0.9472760558128357
10,3013,0.9695477485656738,-0.11645619571208954,0.9697655439376831,,,
11,3287,,,,0.9563221335411072,-0.04612927511334419,0.9538838863372803
11,3287,0.9709573984146118,-0.11794960498809814,0.9710091948509216,,,
12,3561,,,,0.9587725400924683,-0.04954299330711365,0.9585216641426086
12,3561,0.9717996716499329,-0.1161872148513794,0.9720386266708374,,,
13,3835,,,,0.9557501673698425,-0.04580693691968918,0.9533821940422058
13,3835,0.9708822965621948,-0.11869797855615616,0.971202552318573,,,
14,4109,,,,0.9592425227165222,-0.04892846196889877,0.9572573900222778
14,4109,0.9721612930297852,-0.1187371015548706,0.9721581339836121,,,
15,4383,,,,0.959511399269104,-0.04823047295212746,0.9563308954238892
15,4383,0.9727448225021362,-0.12029328942298889,0.9728896021842957,,,
16,4657,,,,0.8723976016044617,-0.003859967226162553,0.8840900659561157
16,4657,0.9680257439613342,-0.11743186414241791,0.9691758751869202,,,
17,4931,,,,0.9615535140037537,-0.05238617956638336,0.9609648585319519
17,4931,0.9677975177764893,-0.1162910908460617,0.9682551622390747,,,
18,5205,,,,0.9606509208679199,-0.04617588222026825,0.9544834494590759
18,5205,0.9718921184539795,-0.12039858102798462,0.9719492197036743,,,
19,5479,,,,0.9554435014724731,-0.047902751713991165,0.9548280239105225
19,5479,0.9728420376777649,-0.12079319357872009,0.9729095101356506,,,
20,5753,,,,0.9570671319961548,-0.0478217639029026,0.9546704888343811
20,5753,0.9731996059417725,-0.1201942041516304,0.9733904600143433,,,
21,6027,,,,0.9546188116073608,-0.046937521547079086,0.9527189135551453
21,6027,0.9732069373130798,-0.12046857178211212,0.9733285307884216,,,
22,6301,,,,0.9602852463722229,-0.05063743516802788,0.9586400389671326
22,6301,0.9721662998199463,-0.11783666908740997,0.9721165299415588,,,
