valid_per_image_iou,valid_dataset_iou,valid_dataset_loss,epoch,step,train_per_image_iou,train_dataset_iou,train_dataset_loss
0.9519451856613159,0.9523966908454895,0.030261684209108353,0,183,,,
,,,0,183,0.9691940546035767,0.9694899916648865,0.019915807992219925
0.9106578230857849,0.9125805497169495,0.05339408293366432,1,367,,,
,,,1,367,0.9697265625,0.9696651697158813,0.01744168996810913
0.9443821907043457,0.9418810606002808,0.032545141875743866,2,551,,,
,,,2,551,0.9685503840446472,0.9681656360626221,0.017409170046448708
0.9494439959526062,0.9493677020072937,0.02838083542883396,3,735,,,
,,,3,735,0.9692582488059998,0.9690945744514465,0.016481652855873108
0.9570202827453613,0.9563233256340027,0.023926731199026108,4,919,,,
,,,4,919,0.9708019495010376,0.9706969857215881,0.015466480515897274
0.9578651189804077,0.9592371582984924,0.02361949160695076,5,1103,,,
,,,5,1103,0.9720786809921265,0.9719602465629578,0.014656717889010906
0.9561021327972412,0.9560847878456116,0.02449413388967514,6,1287,,,
,,,6,1287,0.9729788899421692,0.9729056358337402,0.014059767127037048
0.9519688487052917,0.9528943300247192,0.026385372504591942,7,1471,,,
,,,7,1471,0.973508894443512,0.9735028743743896,0.013696541078388691
0.9510841965675354,0.9564030766487122,0.028725162148475647,8,1655,,,
,,,8,1655,0.9737775921821594,0.9736050367355347,0.013587255962193012
0.9451625347137451,0.9493776559829712,0.031251490116119385,9,1839,,,
,,,9,1839,0.9736639857292175,0.9734481573104858,0.013665350154042244
